Engineering,Engineer,1,0.010100297585897961,7016,14217,590417,4629503,0.011883126671488118,0.0017828290855901557,0.00014257667081981956
Engineering,Project Engineer,0,0.004068861139818269,2646,4313,590417,4629503,0.004481578274338306,0.00041271713452003747,8.751372259690724e-05
Engineering,Managing Director,1,0.003802142405683268,8292,49661,590417,4629503,0.014044311054729116,0.010242168649045848,0.00016112983436980213
Engineering,Electrician,1,0.003667904986259695,2668,6105,590417,4629503,0.004518840074049358,0.0008509350877896633,8.848475485333816e-05
Engineering,Project Manager,1,0.0029425261013850757,5549,31625,590417,4629503,0.009398442118028445,0.006455916016643369,0.00013174500589563745
Engineering,Design Engineer,0,0.0028376884848156725,1852,3060,590417,4629503,0.003136766048403078,0.00029907756358740566,7.328135063038194e-05
Engineering,Mechanical Engineer,0,0.0025605628226461983,1615,2321,590417,4629503,0.0027353548424249303,0.00017479201977873212,6.828993404207648e-05
Engineering,Retired,1,0.0022429543455733444,6415,41241,590417,4629503,0.010865202052108933,0.008622247706535588,0.00014254451587571984
Engineering,Farmer,0,0.0021374741181692304,1306,1607,590417,4629503,0.0022119959283015225,7.45218101322923e-05,6.129159197611726e-05
Engineering,Cabin Crew,0,0.002127795473021062,1294,1552,590417,4629503,0.0021916713102773126,6.387583725625054e-05,6.09897638250417e-05
Engineering,Operations Manager,1,0.0019853019089450643,2688,13058,590417,4629503,0.004552714437423042,0.0025674125284779773,9.115875773103846e-05
Engineering,Electrical Engineer,0,0.0019577304830993157,1306,2333,590417,4629503,0.0022119959283015225,0.00025426544520220664,6.165343203892658e-05
Engineering,Consumer service professional,0,0.0019148131593048864,1132,1142,590417,4629503,0.0019172889669504774,2.4758076455911064e-06,5.6936227622631984e-05
Engineering,Sales Manager,1,0.0018707979755894439,2603,12854,590417,4629503,0.004408748393084887,0.0025379504174954434,8.978312390566615e-05
Engineering,Pilot,0,0.0018017735044960688,1079,1183,590417,4629503,0.0018275219040102164,2.5748399514147508e-05,5.564193522289726e-05
Engineering,Civil Engineer,0,0.0016183700677040534,1021,1469,590417,4629503,0.0017292862502265348,0.00011091618252248156,5.432601827016797e-05
Engineering,Process Engineer,0,0.00159177059272191,986,1302,590417,4629503,0.0016700061143225889,7.823552160067896e-05,5.332132919680725e-05
Engineering,Technical Director,1,0.0013563920609070957,1066,2880,590417,4629503,0.0018055035678173224,0.0004491115069102267,5.624619430524578e-05
Engineering,Structural Engineer,0,0.0013554551339133964,857,1245,590417,4629503,0.0014515164705623314,9.606133664893493e-05,4.9786262944394564e-05
Engineering,Area Sales Manager,1,0.0013346606526619903,1052,2858,590417,4629503,0.001781791513455744,0.00044713086079375383,5.5884944103309516e-05
Engineering,Postman,0,0.0013283834927324979,834,1174,590417,4629503,0.0014125609526825956,8.417745995009763e-05,4.90911355691299e-05
Engineering,Service Engineer,0,0.0013128778858867256,882,1613,590417,4629503,0.0014938594247794355,0.0001809815388927099,5.0706967559770834e-05
Engineering,Buyer,1,0.00126964605006364,1276,4877,590417,4629503,0.0021611843832409976,0.0008915383331773574,6.223389213971137e-05
Engineering,Oil & Energy Professional,0,0.00123711765824989,731,735,590417,4629503,0.0012381079813081263,9.903230582364425e-07,4.576739939725091e-05
Engineering,Graduate Engineer,0,0.001233253201526081,760,978,590417,4629503,0.0012872258081999672,5.397260667388612e-05,4.680548247549366e-05
Engineering,Technician,1,0.0012011165094474295,1130,4009,590417,4629503,0.001913901530613109,0.0007127850211656795,5.841020242671917e-05
Engineering,Engineering Manager,0,0.0011959556332114217,827,1654,590417,4629503,0.0014007049255018063,0.0002047492922903845,4.9191035331339075e-05
Engineering,Airlines/Aviation Professional,0,0.0011894459687621741,703,708,590417,4629503,0.0011906838725849697,1.2379038227955532e-06,4.488416376782608e-05
Engineering,Business Development Manager,1,0.0011827518623735017,2270,13022,590417,4629503,0.0038447402429130596,0.002661988380539558,8.452320705460774e-05
Engineering,Principal Engineer,0,0.0011800971773246462,777,1326,590417,4629503,0.001316019017067598,0.00013592183974295174,4.753608122052493e-05
Engineering,Electrical/Electronic Manufacturing Professional,0,0.00114127911774534,675,683,590417,4629503,0.001143259763861813,1.980646116472885e-06,4.39845022729691e-05
Engineering,Mechanical or Industrial Engineering Professional,0,0.0011381392621725307,673,680,590417,4629503,0.0011398723275244445,1.7330653519137744e-06,4.3918684871931135e-05
Engineering,Contracts Manager,1,0.0011329947549820034,1326,5821,590417,4629503,0.0022458702916752058,0.0011128755366932024,6.380084846912438e-05
Engineering,Driver,1,0.0011057631738520604,1521,7460,590417,4629503,0.0025761453345686186,0.0014703821607165582,6.866969360488548e-05
Engineering,Soldier,0,0.00106397643087699,645,760,590417,4629503,0.0010924482188012878,2.8471787924297726e-05,4.307350585422006e-05
Engineering,Sales Engineer,0,0.001053101018379067,676,1047,590417,4629503,0.001144953482030497,9.185246365143005e-05,4.426902983737324e-05
Engineering,Cleaner,1,0.001010799466072184,1254,5750,590417,4629503,0.0021239225835299456,0.0011131231174577615,6.216885824380201e-05
Engineering,Product Manager,1,0.001010767276048199,1431,7138,590417,4629503,0.0024237106993870434,0.0014129434233388445,6.666675824202608e-05
Engineering,Welder,0,0.0010003203248672506,652,1072,590417,4629503,0.0011043042459820771,0.00010398392111482647,4.352075870320704e-05
Engineering,Manufacturing Engineer,0,0.0009865327071285886,606,767,590417,4629503,0.0010263932102226054,3.986050309401681e-05,4.1791205121340716e-05
Engineering,Builder,1,0.0009860965749706216,1089,4556,590417,4629503,0.001844459085697058,0.0008583625107264366,5.771103376786704e-05
