# sector mappings
title,en,,Network Engineer,Network Engineer
title,en,,Network Support Engineer,Network Engineer
title,en,,Network Consultant,Network Engineer
title,en,,Network Analyst,Network Engineer
title,en,,Network Manager,Network Engineer
title,en,,Network Administrator,Network Engineer
#
###### genuine tech careers ######
#
# Engineer
title,en,,Technical Director,Engineer
title,en,,Engineer,Engineer
title,en,,Field Service Engineer,Engineer
# Software Developer
title,en,,Software Engineer,Software Developer
title,en,,Sr Software Engineer,Software Developer
title,en,Digital Tech,Developer,Software Developer
title,en,,Analyst Programmer,Software Developer
title,en,,Principal Software Engineer,Software Developer
title,en,,Assistant Consultant,Software Developer
title,en,,Analyst Developer,Software Developer
title,en,,Technical Lead,Software Developer
title,en,,Application Developer,Software Developer
title,en,,IT Developer,Software Developer
title,en,,NET Developer,Software Developer
title,en,,Java Developer,Software Developer
title,en,,Computer Programmer,Software Developer
title,en,,Software Development Engineer,Software Developer
title,en,,Software Architect,Software Developer
title,en,,Tech Lead,Software Developer
title,en,,Graduate Software Engineer,Software Developer
title,en,,Programmer,Software Developer
title,en,,Android Developer,Software Developer
title,en,,Technology Analyst,Software Developer
title,en,,Scrum Master,Software Developer
title,en,,Systems Developer,Software Developer
title,en,,Software Consultant,Software Developer
title,en,,Software Developer,Software Developer
title,en,,Software Development Manager,Software Developer
title,en,,iOS Developer,Software Developer
# Data Analyst
title,en,,Analyst,Data Analyst
title,en,,Data Analyst,Data Analyst
# Test Analyst
title,en,,Test Consultant,Test Analyst
title,en,,QA Analyst,Test Analyst
title,en,,QA Tester,Test Analyst
title,en,,Software Test Engineer,Test Analyst
title,en,,Software Test Analyst,Test Analyst
title,en,,QA Engineer,Test Analyst
title,en,,Software Tester,Test Analyst
title,en,,Test Analyst,Test Analyst
title,en,,Test Manager,Test Analyst
title,en,,Test Engineer,Test Analyst
title,en,,Tester,Test Analyst
title,en,,QA,Test Analyst
title,en,,Test Lead,Test Analyst
# Web Designer/Developer
title,en,,Web Designer,Web Designer/Developer
title,en,,Webmaster,Web Designer/Developer
title,en,,Web Developer,Web Designer/Developer
title,en,,Web Designer/Developer,Web Designer/Developer
title,en,,Web Application Developer,Web Designer/Developer
title,en,,Front End Web Developer,Web Designer/Developer
title,en,,Front End Developer,Web Designer/Developer
title,en,,PHP Developer,Web Designer/Developer
# Database Administrator
title,en,,Oracle DBA,Database Administrator
title,en,,BI Consultant,Database Administrator
title,en,,Oracle Developer,Database Administrator
title,en,,BI Developer,Database Administrator
title,en,,Database Administrator,Database Administrator
title,en,,DBA,Database Administrator
# Digital Marketer
title,en,,Internet Marketer,Digital Marketer
title,en,,SEO,Digital Marketer
title,en,,Digital Project Manager,Digital Marketer
# Animator
title,en,,3D Artist,Animator
title,en,,Animator,Animator
# Cyber Security Analyst
title,en,,Security Consultant,Cyber Security Analyst
title,en,,Cyber Security,Cyber Security Analyst
# IT Trainer
title,en,,IT Trainer,IT Trainer
# Data Scientist
title,en,,Data Scientist,Data Scientist
# Game Designer/Developer
title,en,,Game Designer,Game Designer/Developer
title,en,,Game Developer,Game Designer/Developer
title,en,,Game Artist,Game Designer/Developer
title,en,,Game Programmer,Game Designer/Developer
title,en,,Game Tester,Game Designer/Developer
